year,fatalities,fatal_collisions,metric,grouping,variable,geography,population,fatality_rate,fatal_collision_rate
2012,1,1,1-year average for fatal collisions,All,Census Tracts,53035090400,4792,20.868113522537563,20.868113522537563
2012,1,1,1-year average for fatal collisions,All,Census Tracts,53035091201,4066,24.594195769798326,24.594195769798326
2012,1,1,1-year average for fatal collisions,All,Census Tracts,53035091301,4129,24.218939210462583,24.218939210462583
2012,1,1,1-year average for fatal collisions,All,Census Tracts,53035091302,5558,17.992083483267365,17.992083483267365
2012,1,1,1-year average for fatal collisions,All,Census Tracts,53035092000,5734,17.439832577607255,17.439832577607255
2012,1,1,1-year average for fatal collisions,All,Census Tracts,53035092100,6415,15.58846453624318,15.58846453624318
2012,1,1,1-year average for fatal collisions,All,Census Tracts,53035092400,6277,15.931177314003504,15.931177314003504
2012,1,1,1-year average for fatal collisions,All,Census Tracts,53035092704,2957,33.81805884342239,33.81805884342239
2012,1,1,1-year average for fatal collisions,All,Census Tracts,53035092803,3107,32.1853878339234,32.1853878339234
2012,1,1,1-year average for fatal collisions,All,Census Tracts,53035092901,5483,18.23819077147547,18.23819077147547
2012,5,3,1-year average for fatal collisions,All,Census Tracts,53035940100,5694,87.81173164734808,52.68703898840885
2012,2,2,1-year average for fatal collisions,All,Census Tracts,53053060200,684,292.39766081871346,292.39766081871346
2012,1,1,1-year average for fatal collisions,All,Census Tracts,53053060905,6359,15.725743041358706,15.725743041358706
2012,1,1,1-year average for fatal collisions,All,Census Tracts,53053061601,2050,48.78048780487805,48.78048780487805
2012,1,1,1-year average for fatal collisions,All,Census Tracts,53053061900,2051,48.75670404680643,48.75670404680643
2012,2,2,1-year average for fatal collisions,All,Census Tracts,53053062400,5902,33.886818027787186,33.886818027787186
2012,2,2,1-year average for fatal collisions,All,Census Tracts,53053070100,3078,64.97725795971411,64.97725795971411
2012,1,1,1-year average for fatal collisions,All,Census Tracts,53053070205,3342,29.922202274087375,29.922202274087375
2012,1,1,1-year average for fatal collisions,All,Census Tracts,53053070307,5095,19.62708537782139,19.62708537782139
2012,2,2,1-year average for fatal collisions,All,Census Tracts,53053070310,5298,37.75009437523594,37.75009437523594
2012,1,1,1-year average for fatal collisions,All,Census Tracts,53053070311,4935,20.26342451874367,20.26342451874367
2012,1,1,1-year average for fatal collisions,All,Census Tracts,53053071309,3915,25.54278416347382,25.54278416347382
2012,2,2,1-year average for fatal collisions,All,Census Tracts,53053071406,6672,29.976019184652277,29.976019184652277
2012,1,1,1-year average for fatal collisions,All,Census Tracts,53053071409,4789,20.881186051367717,20.881186051367717
2012,1,1,1-year average for fatal collisions,All,Census Tracts,53053071704,4755,21.03049421661409,21.03049421661409
2012,1,1,1-year average for fatal collisions,All,Census Tracts,53053071807,3680,27.17391304347826,27.17391304347826
2012,2,2,1-year average for fatal collisions,All,Census Tracts,53053071902,4946,40.43671653861707,40.43671653861707
2012,1,1,1-year average for fatal collisions,All,Census Tracts,53053072407,4508,22.182786157941436,22.182786157941436
2012,1,1,1-year average for fatal collisions,All,Census Tracts,53053072504,4576,21.853146853146853,21.853146853146853
2012,1,1,1-year average for fatal collisions,All,Census Tracts,53053072505,6571,15.218383807639627,15.218383807639627
2012,2,2,1-year average for fatal collisions,All,Census Tracts,53053072601,5021,39.83270264887473,39.83270264887473
2012,1,1,1-year average for fatal collisions,All,Census Tracts,53053072906,2914,34.317089910775564,34.317089910775564
2012,1,1,1-year average for fatal collisions,All,Census Tracts,53053073001,5568,17.95977011494253,17.95977011494253
2012,3,3,1-year average for fatal collisions,All,Census Tracts,53053073006,2858,104.96850944716584,104.96850944716584
2012,1,1,1-year average for fatal collisions,All,Census Tracts,53053073123,4875,20.51282051282051,20.51282051282051
2012,2,2,1-year average for fatal collisions,All,Census Tracts,53053073200,5625,35.55555555555556,35.55555555555556
2012,2,2,1-year average for fatal collisions,All,Census Tracts,53053073302,3760,53.191489361702125,53.191489361702125
2012,5,3,1-year average for fatal collisions,All,Census Tracts,53053940004,6243,80.08970046452026,48.05382027871216
2012,1,1,1-year average for fatal collisions,All,Census Tracts,53061041202,5822,17.17622810030917,17.17622810030917
2012,1,1,1-year average for fatal collisions,All,Census Tracts,53061041400,5782,17.295053614666205,17.295053614666205
2012,1,1,1-year average for fatal collisions,All,Census Tracts,53061041500,1454,68.7757909215956,68.7757909215956
2012,1,1,1-year average for fatal collisions,All,Census Tracts,53061041601,5587,17.898693395382136,17.898693395382136
2012,1,1,1-year average for fatal collisions,All,Census Tracts,53061041703,5096,19.623233908948194,19.623233908948194
2012,1,1,1-year average for fatal collisions,All,Census Tracts,53061041806,8153,12.265423770391266,12.265423770391266
2012,1,1,1-year average for fatal collisions,All,Census Tracts,53061041901,3921,25.50369803621525,25.50369803621525
2012,1,1,1-year average for fatal collisions,All,Census Tracts,53061041903,6658,15.019525382997898,15.019525382997898
2012,1,1,1-year average for fatal collisions,All,Census Tracts,53061051000,5053,19.790223629527013,19.790223629527013
2012,1,1,1-year average for fatal collisions,All,Census Tracts,53061051701,5497,18.191740949608878,18.191740949608878
2012,1,1,1-year average for fatal collisions,All,Census Tracts,53061051803,6090,16.420361247947454,16.420361247947454
2012,1,1,1-year average for fatal collisions,All,Census Tracts,53061051913,4158,24.05002405002405,24.05002405002405
2012,1,1,1-year average for fatal collisions,All,Census Tracts,53061051928,4989,20.044097013429546,20.044097013429546
2012,1,1,1-year average for fatal collisions,All,Census Tracts,53061052005,5061,19.758940920766648,19.758940920766648
2012,1,1,1-year average for fatal collisions,All,Census Tracts,53061052104,3192,31.328320802005017,31.328320802005017
2012,1,1,1-year average for fatal collisions,All,Census Tracts,53061052105,1901,52.60389268805892,52.60389268805892
2012,1,1,1-year average for fatal collisions,All,Census Tracts,53061052208,3693,27.07825616030328,27.07825616030328
2012,1,1,1-year average for fatal collisions,All,Census Tracts,53061052301,4381,22.82583884957772,22.82583884957772
2012,1,1,1-year average for fatal collisions,All,Census Tracts,53061052302,3856,25.933609958506224,25.933609958506224
2012,1,1,1-year average for fatal collisions,All,Census Tracts,53061052607,5717,17.491691446562882,17.491691446562882
2012,1,1,1-year average for fatal collisions,All,Census Tracts,53061052701,1339,74.6825989544436,74.6825989544436
2012,1,1,1-year average for fatal collisions,All,Census Tracts,53061052707,3520,28.409090909090907,28.409090909090907
2012,2,2,1-year average for fatal collisions,All,Census Tracts,53061052805,4280,46.728971962616825,46.728971962616825
2012,1,1,1-year average for fatal collisions,All,Census Tracts,53061053302,5451,18.345257750871397,18.345257750871397
2012,4,2,1-year average for fatal collisions,All,Census Tracts,53061053400,5579,71.69743681663381,35.848718408316905
2012,1,1,1-year average for fatal collisions,All,Census Tracts,53061053504,6393,15.64210855623338,15.64210855623338
2012,3,3,1-year average for fatal collisions,All,Census Tracts,53061053801,3286,91.29640900791236,91.29640900791236
2012,1,1,1-year average for fatal collisions,All,Census Tracts,53061053803,5837,17.13208840157615,17.13208840157615
2012,3,3,1-year average for fatal collisions,All,Census Tracts,53061940001,6842,43.84682841274481,43.84682841274481
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53033000600,7205,13.879250520471894,13.879250520471894
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53033001200,6226,16.061676839062,16.061676839062
2013,4,2,1-year average for fatal collisions,All,Census Tracts,53033002400,2929,136.56538067599863,68.28269033799931
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53033004900,6555,15.255530129672007,15.255530129672007
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53033005200,6642,15.05570611261668,15.05570611261668
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53033006200,3874,25.81311306143521,25.81311306143521
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53033007500,7214,13.86193512614361,13.86193512614361
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53033008200,3590,27.855153203342617,27.855153203342617
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53033008900,4577,21.84837229626393,21.84837229626393
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53033009000,3048,32.808398950131235,32.808398950131235
2013,8,8,1-year average for fatal collisions,All,Census Tracts,53033009300,2400,333.3333333333333,333.3333333333333
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53033009400,5680,17.6056338028169,17.6056338028169
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53033009500,5745,17.40644038294169,17.40644038294169
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53033010402,4743,21.08370229812355,21.08370229812355
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53033010500,6257,15.9821000479463,15.9821000479463
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53033010600,7701,12.985326580963513,12.985326580963513
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53033010800,4706,21.24946876328092,21.24946876328092
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53033010900,1131,88.41732979664013,88.41732979664013
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53033011101,4711,21.226915729144554,21.226915729144554
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53033011401,4023,24.857071836937607,24.857071836937607
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53033011800,7842,12.751849018107626,12.751849018107626
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53033020800,4009,24.943876278373658,24.943876278373658
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53033021000,5615,17.809439002671418,17.809439002671418
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53033021600,4877,20.50440844781628,20.50440844781628
2013,4,2,1-year average for fatal collisions,All,Census Tracts,53033021903,4712,84.88964346349745,42.444821731748725
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53033023601,3466,28.851702250432773,28.851702250432773
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53033023801,2375,42.10526315789474,42.10526315789474
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53033023803,4260,23.474178403755868,23.474178403755868
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53033024701,3413,29.29973630237328,29.29973630237328
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53033025301,4625,21.62162162162162,21.62162162162162
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53033026002,8020,12.468827930174564,12.468827930174564
2013,2,2,1-year average for fatal collisions,All,Census Tracts,53033026300,1404,142.45014245014244,142.45014245014244
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53033026400,6074,16.463615409944023,16.463615409944023
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53033027000,3285,30.441400304414007,30.441400304414007
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53033027300,6480,15.4320987654321,15.4320987654321
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53033027400,4782,20.911752404851526,20.911752404851526
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53033027702,4719,21.19093028183937,21.19093028183937
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53033028200,4322,23.137436372049976,23.137436372049976
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53033029204,7098,14.088475626937164,14.088475626937164
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53033029206,3589,27.862914460852608,27.862914460852608
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53033029303,7179,13.92951664577239,13.92951664577239
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53033029405,5717,17.491691446562882,17.491691446562882
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53033030003,6095,16.406890894175554,16.406890894175554
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53033030004,8141,12.283503255128362,12.283503255128362
2013,2,2,1-year average for fatal collisions,All,Census Tracts,53033030401,9043,22.116554240849275,22.116554240849275
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53033030501,2112,47.34848484848485,47.34848484848485
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53033030504,4334,23.073373327180434,23.073373327180434
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53033030600,5219,19.160758766047135,19.160758766047135
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53033030801,7440,13.440860215053764,13.440860215053764
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53033031100,6463,15.472690700912887,15.472690700912887
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53033031204,5813,17.20282126268708,17.20282126268708
2013,4,2,1-year average for fatal collisions,All,Census Tracts,53033031502,4354,91.86954524575103,45.934772622875514
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53033031703,6101,16.390755613833797,16.390755613833797
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53033031909,3475,28.776978417266186,28.776978417266186
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53033032002,3274,30.543677458766037,30.543677458766037
2013,2,2,1-year average for fatal collisions,All,Census Tracts,53033032102,5113,39.115978877371404,39.115978877371404
2013,2,2,1-year average for fatal collisions,All,Census Tracts,53033032208,7899,25.319660716546398,25.319660716546398
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53033032210,11153,8.966197435667533,8.966197435667533
2013,2,2,1-year average for fatal collisions,All,Census Tracts,53033032313,6703,29.83738624496494,29.83738624496494
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53033032315,5796,17.25327812284334,17.25327812284334
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53033032702,6551,15.264845061822623,15.264845061822623
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53033032703,1972,50.70993914807302,50.70993914807302
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53033032800,2531,39.51007506914263,39.51007506914263
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53035090202,5201,19.227071716977505,19.227071716977505
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53035091100,4771,20.959966464053657,20.959966464053657
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53035092000,5966,16.761649346295677,16.761649346295677
2013,4,2,1-year average for fatal collisions,All,Census Tracts,53035092500,5464,73.20644216691069,36.603221083455345
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53035092802,4200,23.809523809523807,23.809523809523807
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53035092901,5616,17.806267806267805,17.806267806267805
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53053060200,635,157.48031496062993,157.48031496062993
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53053060300,4090,24.449877750611247,24.449877750611247
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53053060400,4182,23.91200382592061,23.91200382592061
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53053061500,4698,21.285653469561517,21.285653469561517
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53053061602,867,115.34025374855824,115.34025374855824
2013,4,2,1-year average for fatal collisions,All,Census Tracts,53053063300,8541,46.832923545252314,23.416461772626157
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53053063502,5221,19.15341888527102,19.15341888527102
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53053070206,3840,26.041666666666668,26.041666666666668
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53053070207,4942,20.234722784297855,20.234722784297855
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53053070307,5073,19.712201852946976,19.712201852946976
2013,4,2,1-year average for fatal collisions,All,Census Tracts,53053070312,5363,74.58512026850644,37.29256013425322
2013,2,2,1-year average for fatal collisions,All,Census Tracts,53053070313,5300,37.735849056603776,37.735849056603776
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53053070316,5057,19.77456990310461,19.77456990310461
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53053071206,6633,15.076134479119554,15.076134479119554
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53053071306,6674,14.98351813005694,14.98351813005694
2013,4,2,1-year average for fatal collisions,All,Census Tracts,53053071307,4580,87.33624454148472,43.66812227074236
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53053071309,3950,25.31645569620253,25.31645569620253
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53053071410,6500,15.384615384615383,15.384615384615383
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53053071503,5553,18.008283810552854,18.008283810552854
2013,2,2,1-year average for fatal collisions,All,Census Tracts,53053071706,1803,110.92623405435386,110.92623405435386
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53053071707,2866,34.89183531053733,34.89183531053733
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53053072308,7494,13.344008540165465,13.344008540165465
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53053072408,5860,17.064846416382252,17.064846416382252
2013,2,2,1-year average for fatal collisions,All,Census Tracts,53053072505,6953,28.764562059542644,28.764562059542644
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53053072602,4286,23.33177788147457,23.33177788147457
2013,3,3,1-year average for fatal collisions,All,Census Tracts,53053072906,2558,117.27912431587178,117.27912431587178
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53053073006,3111,32.14400514304082,32.14400514304082
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53053073108,7932,12.607160867372668,12.607160867372668
2013,2,2,1-year average for fatal collisions,All,Census Tracts,53053073113,6605,30.28009084027252,30.28009084027252
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53053073116,3147,31.776294884016526,31.776294884016526
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53053073117,3867,25.85983966899405,25.85983966899405
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53053073118,4407,22.69117313365101,22.69117313365101
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53053940002,3847,25.994281258123216,25.994281258123216
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53053940011,4300,23.255813953488374,23.255813953488374
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53061040700,4400,22.72727272727273,22.72727272727273
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53061041606,5197,19.241870309794113,19.241870309794113
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53061041704,4902,20.39983680130559,20.39983680130559
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53061041808,3781,26.448029621793175,26.448029621793175
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53061041810,5165,19.36108422071636,19.36108422071636
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53061041903,7230,13.831258644536652,13.831258644536652
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53061051300,6611,15.126304643775525,15.126304643775525
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53061051804,4179,23.929169657812874,23.929169657812874
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53061051905,7759,12.888258796236627,12.888258796236627
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53061051912,2347,42.60758414997869,42.60758414997869
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53061051914,4080,24.509803921568626,24.509803921568626
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53061052104,3483,28.710881424059718,28.710881424059718
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53061052203,5606,17.83803068141277,17.83803068141277
2013,4,2,1-year average for fatal collisions,All,Census Tracts,53061052207,5655,70.73386383731211,35.36693191865606
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53061052301,4416,22.644927536231886,22.644927536231886
2013,2,1,1-year average for fatal collisions,All,Census Tracts,53061052502,4457,44.873233116446045,22.436616558223022
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53061052503,6894,14.50536698578474,14.50536698578474
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53061052603,2740,36.496350364963504,36.496350364963504
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53061052803,4823,20.73398299813394,20.73398299813394
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53061052804,7332,13.63884342607747,13.63884342607747
2013,2,2,1-year average for fatal collisions,All,Census Tracts,53061053302,5083,39.34684241589613,39.34684241589613
2013,2,2,1-year average for fatal collisions,All,Census Tracts,53061053504,6614,30.238887208950707,30.238887208950707
2013,2,2,1-year average for fatal collisions,All,Census Tracts,53061053506,5357,37.334328915437744,37.334328915437744
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53061053508,3549,28.17695125387433,28.17695125387433
2013,2,2,1-year average for fatal collisions,All,Census Tracts,53061053801,3322,60.20469596628537,60.20469596628537
2013,1,1,1-year average for fatal collisions,All,Census Tracts,53061053802,5347,18.70207593042828,18.70207593042828
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53033001701,4114,24.307243558580456,24.307243558580456
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53033004700,7900,12.658227848101266,12.658227848101266
2014,4,2,1-year average for fatal collisions,All,Census Tracts,53033006600,3364,118.90606420927466,59.45303210463733
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53033007200,5980,16.722408026755854,16.722408026755854
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53033008100,4338,23.05209774089442,23.05209774089442
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53033008500,4233,23.623907394283016,23.623907394283016
2014,3,3,1-year average for fatal collisions,All,Census Tracts,53033009300,2534,118.38989739542225,118.38989739542225
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53033010402,5014,19.94415636218588,19.94415636218588
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53033010800,4815,20.768431983385256,20.768431983385256
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53033010900,1079,92.67840593141798,92.67840593141798
2014,2,2,1-year average for fatal collisions,All,Census Tracts,53033011001,4838,41.339396444811904,41.339396444811904
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53033011200,4264,23.452157598499063,23.452157598499063
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53033020600,3570,28.011204481792713,28.011204481792713
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53033021500,4333,23.078698361412417,23.078698361412417
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53033021600,5059,19.766752322593398,19.766752322593398
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53033021903,5363,18.64628006712661,18.64628006712661
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53033022101,4686,21.340162185232607,21.340162185232607
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53033022102,6328,15.802781289506953,15.802781289506953
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53033023601,3608,27.716186252771617,27.716186252771617
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53033024000,7783,12.848515996402416,12.848515996402416
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53033024800,5334,18.747656542932134,18.747656542932134
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53033025102,7866,12.712941774726673,12.712941774726673
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53033025302,5285,18.921475875118258,18.921475875118258
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53033025400,7316,13.66867140513942,13.66867140513942
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53033025601,4734,21.123785382340515,21.123785382340515
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53033025806,4666,21.43163309044149,21.43163309044149
2014,4,4,1-year average for fatal collisions,All,Census Tracts,53033026200,5516,72.5163161711385,72.5163161711385
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53033027000,3444,29.036004645760745,29.036004645760745
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53033027200,2630,38.02281368821293,38.02281368821293
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53033027400,5059,19.766752322593398,19.766752322593398
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53033027500,4410,22.675736961451246,22.675736961451246
2014,2,2,1-year average for fatal collisions,All,Census Tracts,53033027701,5688,35.16174402250352,35.16174402250352
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53033027702,4759,21.01281781886951,21.01281781886951
2014,2,2,1-year average for fatal collisions,All,Census Tracts,53033027900,7191,27.81254345709915,27.81254345709915
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53033028500,3700,27.027027027027028,27.027027027027028
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53033029101,3216,31.094527363184078,31.094527363184078
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53033029102,4086,24.473813020068526,24.473813020068526
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53033029204,7342,13.620266957232362,13.620266957232362
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53033030004,8215,12.172854534388314,12.172854534388314
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53033030006,3826,26.13695765812859,26.13695765812859
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53033030306,6027,16.592002654720424,16.592002654720424
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53033030308,6344,15.762925598991174,15.762925598991174
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53033030310,5717,17.491691446562882,17.491691446562882
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53033030312,4843,20.648358455502787,20.648358455502787
2014,2,2,1-year average for fatal collisions,All,Census Tracts,53033030401,8600,23.255813953488374,23.255813953488374
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53033030501,1681,59.488399762046406,59.488399762046406
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53033030504,4522,22.114108801415302,22.114108801415302
2014,16,4,1-year average for fatal collisions,All,Census Tracts,53033031100,6625,241.50943396226413,60.37735849056603
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53033031206,4971,20.116676725005032,20.116676725005032
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53033031502,4389,22.7842333105491,22.7842333105491
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53033031603,5624,17.780938833570413,17.780938833570413
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53033031903,6526,15.323322096230463,15.323322096230463
2014,2,2,1-year average for fatal collisions,All,Census Tracts,53033031906,3603,55.50929780738274,55.50929780738274
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53033031909,3203,31.22073056509522,31.22073056509522
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53033032003,5318,18.804061677322302,18.804061677322302
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53033032311,5760,17.36111111111111,17.36111111111111
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53033032315,5262,19.004180919802355,19.004180919802355
2014,4,2,1-year average for fatal collisions,All,Census Tracts,53033032318,5679,70.43493572812115,35.21746786406057
2014,4,2,1-year average for fatal collisions,All,Census Tracts,53033032321,5143,77.77561734396268,38.88780867198134
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53033032402,6164,16.223231667748216,16.223231667748216
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53033032800,2381,41.999160016799664,41.999160016799664
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53035080200,3583,27.90957298353335,27.90957298353335
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53035080300,3555,28.129395218002813,28.129395218002813
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53035080400,3239,30.873726458783572,30.873726458783572
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53035081000,3962,25.239777889954567,25.239777889954567
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53035090102,6252,15.994881637875878,15.994881637875878
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53035090300,6355,15.735641227380016,15.735641227380016
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53035091201,3930,25.44529262086514,25.44529262086514
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53035091301,4296,23.277467411545626,23.277467411545626
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53035091400,3354,29.815146094215862,29.815146094215862
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53035091700,8131,12.298610257040956,12.298610257040956
2014,1,1,1-year average for fatal collisions,All,Census Tracts,53035091900,4488,22.281639928698752,22.281639928698752
